Nationality,Positions,Best Position,Field Position,Name,Age,Height,Weight,Club,Start Year,End Year,↓OVA,POT,Value,Value_int,Wage,Wage_amt,Release Clause
Belgium,"RW, LW",CAM,MID,A. Ait El Hadj,18,168cm,61kg,RSC Anderlecht,2019,2024,61,79,€825K,825000.0,€2K,2000.0,€1.1M
Brazil,ST,ST,ATT,Douglas Oliveira,25,188cm,88kg,Hokkaido Consadole Sapporo,2019,2021,61,64,€450K,450000.0,€1K,1000.0,€431K
England,GK,GK,GK,J. Wollacott,23,191cm,80kg,Bristol City,2015,2021,61,69,€625K,625000.0,€4K,4000.0,€578K
Venezuela,"CDM, LM",CDM,MID,R. Villamizar,25,170cm,68kg,Zamora FC,2019,2024,61,66,€450K,450000.0,€500,500.0,€668K
Poland,CAM,CAM,MID,H. Adamczyk,22,180cm,70kg,Wisła Płock,2018,2021,61,71,€725K,725000.0,€1K,1000.0,€620K
Poland,"LM, CAM",LM,MID,W. Szumilas,23,176cm,68kg,Wisła Płock,2020,2022,61,67,€525K,525000.0,€1K,1000.0,€543K
Sweden,"RM, CAM",LM,MID,G. Norlin,23,182cm,73kg,Varbergs BoIS,2020,2021,61,68,€650K,650000.0,€550,550.0,€508K
Romania,"LM, RM",RM,MID,S. Ciocan,21,173cm,62kg,Gaz Metan Mediaş,2019,2021,61,71,€725K,725000.0,€1K,1000.0,€620K
Colombia,GK,GK,GK,L. Fernández,42,187cm,82kg,SD Aucas,2018,2024,61,61,€35K,35000.0,€500,500.0,€54K
Turkey,CB,CB,DEF,Y. Abdioğlu,30,181cm,81kg,Hatayspor,2018,2021,61,61,€275K,275000.0,€2K,2000.0,€390K
England,"CAM, LM",RM,MID,O. Khan,23,175cm,71kg,Tranmere Rovers,2020,2021,61,65,€475K,475000.0,€2K,2000.0,€593K
France,"LM, LW, CM",CAM,MID,J. Papeau,24,179cm,80kg,Amiens SC,2019,2022,61,67,€525K,525000.0,€1K,1000.0,€700K
Germany,"LW, ST",LW,ATT,D. Kother,20,180cm,67kg,Karlsruher SC,2019,2024,61,73,€800K,800000.0,€2K,2000.0,€788K
Paraguay,"CB, RB",CB,DEF,C. Nuñez,24,180cm,78kg,Nacional Asunción,2019,2024,61,68,€600K,600000.0,€500,500.0,€764K
Italy,"CDM, CM",CM,MID,S. Damiani,22,178cm,73kg,Empoli,2015,2024,61,72,€700K,700000.0,€700,700.0,€700K
Peru,ST,ST,ATT,R. Huaccha,26,172cm,71kg,Sport Huancayo,2020,2021,61,64,€425K,425000.0,€500,500.0,€723K
Turkey,LB,LB,DEF,B. Cevahir,28,180cm,75kg,Yeni Malatyaspor,2019,2021,61,61,€300K,300000.0,€2K,2000.0,€440K
Peru,ST,ST,ATT,G. Fuentes,21,180cm,76kg,Sport Huancayo,2020,2021,61,70,€750K,750000.0,€500,500.0,€940K
Spain,CM,CAM,MID,Caballero,26,175cm,59kg,CD Mirandés,2020,2021,61,64,€425K,425000.0,€2K,2000.0,€488K
Spain,ST,ST,ATT,Nacho Ramón,21,186cm,80kg,Elche CF,2018,2021,61,70,€750K,750000.0,€3K,3000.0,€960K
England,RB,RWB,DEF,L. Matheson,17,168cm,62kg,Wolverhampton Wanderers,2020,2022,61,82,€1M,1000000.0,€500,500.0,€1.5M
Poland,RM,RM,MID,M. Skóraś,20,172cm,64kg,Lech Poznań,2017,2023,61,75,€800K,800000.0,€1K,1000.0,€1.1M
Nigeria,CB,CB,DEF,G. Arokoyo,27,188cm,78kg,Kalmar FF,2018,2020,61,64,€375K,375000.0,€800,800.0,€364K
Mexico,CB,CB,DEF,V. Guzmán,18,181cm,75kg,Club Tijuana,2020,2022,61,81,€850K,850000.0,€950,950.0,€1.3M
Ivory Coast,LM,CAM,MID,V. Diomande,29,169cm,66kg,Mjøndalen IF,2012,2020,61,61,€325K,325000.0,€850,850.0,€313K
Argentina,"ST, CAM",ST,ATT,P. Magnín,30,178cm,75kg,Club Atlético Tigre,2020,2021,61,61,€325K,325000.0,€3K,3000.0,€348K
Peru,LB,LB,DEF,H. Ángeles,26,175cm,69kg,Sport Huancayo,2020,2021,61,63,€375K,375000.0,€500,500.0,€612K
Spain,CB,CB,DEF,Pau Resta,19,185cm,75kg,Girona FC,2019,2021,61,75,€725K,725000.0,€900,900.0,€1.1M
Italy,"LW, ST",CAM,MID,V. Millico,19,174cm,68kg,Torino,2017,2023,61,79,€850K,850000.0,€5K,5000.0,€1.3M
Uruguay,"CM, RW",CAM,MID,F. Arismendi,29,175cm,70kg,Club Blooming,2020,2023,60,60,€240K,240000.0,€500,500.0,€430K
Venezuela,ST,CAM,MID,J. Ramírez,22,174cm,68kg,Audax Italiano,2019,2022,60,70,€550K,550000.0,€1K,1000.0,€504K
United Arab Emirates,LB,LB,DEF,S. Abdullah,21,189cm,66kg,Al Ain FC,2019,2024,60,70,€525K,525000.0,€500,500.0,€705K
Ecuador,GK,GK,GK,A. Preciado,22,188cm,98kg,Barcelona Sporting Club,2020,2024,60,66,€325K,325000.0,€500,500.0,€494K
Czech Republic,"CM, CAM",RM,MID,R. Macek,23,188cm,75kg,FC Lugano,2019,2025,60,69,€550K,550000.0,€1K,1000.0,€536K
Germany,"LM, CAM",CAM,MID,H. Anapak,19,174cm,67kg,KFC Uerdingen 05,2020,2023,60,73,€575K,575000.0,€850,850.0,€830K
Poland,RB,RB,DEF,W. Lisowski,28,186cm,84kg,Stal Mielec,2019,2021,60,60,€220K,220000.0,€850,850.0,€243K
Netherlands,RW,RM,MID,J. Dahlhaus,18,176cm,73kg,Willem II,2020,2021,60,73,€575K,575000.0,€800,800.0,€797K
Argentina,GK,GK,GK,N. Insfrán,25,180cm,83kg,Gimnasia y Esgrima La Plata,2018,2021,60,66,€300K,300000.0,€2K,2000.0,€347K
France,CM,CAM,MID,U. Bertelli,16,168cm,62kg,Olympique de Marseille,2020,2023,60,76,€600K,600000.0,€700,700.0,€1M
England,GK,GK,GK,E. Ross,23,196cm,94kg,Lincoln City,2020,2021,60,68,€475K,475000.0,€1K,1000.0,€468K
Mexico,"CM, CDM",ST,ATT,E. Sánchez,20,167cm,64kg,Pachuca,2020,2023,60,74,€600K,600000.0,€2K,2000.0,€1M
Saudi Arabia,"CM, CDM, CAM",LWB,DEF,N. Al Dawsari,21,178cm,65kg,Al Hilal,2017,2023,60,68,€550K,550000.0,€4K,4000.0,€570K
Spain,ST,ST,ATT,Soberón,23,178cm,73kg,Levante UD,2020,2021,60,69,€550K,550000.0,€4K,4000.0,€748K
Croatia,"LB, CB",CB,DEF,M. Šverko,22,187cm,81kg,1. FC Saarbrücken,2020,2022,60,70,€525K,525000.0,€850,850.0,€495K
Australia,"ST, LM",RM,MID,L. Wales,22,180cm,74kg,Western United FC,2020,2022,60,66,€400K,400000.0,€550,550.0,€435K
Italy,LB,LB,DEF,A. Tripaldelli,21,182cm,77kg,Cagliari,2020,2023,60,74,€575K,575000.0,€3K,3000.0,€988K
Turkey,"LB, RB",LB,DEF,R. Kutun,22,178cm,72kg,Fatih Karagümrük S.K.,2019,2022,60,66,€375K,375000.0,€2K,2000.0,€550K
Iceland,LB,LB,DEF,O. Sverrisson,27,184cm,80kg,BK Häcken,2018,2022,60,61,€250K,250000.0,€1K,1000.0,€278K
Greece,GK,GK,GK,V. Xenopoulos,22,185cm,84kg,Panathinaikos FC,2016,2021,60,67,€425K,425000.0,€500,500.0,€528K
Netherlands,LB,LB,DEF,T. Poll,18,180cm,70kg,FC Groningen,2018,2021,60,73,€550K,550000.0,€500,500.0,€726K
France,CM,CM,MID,H. Magnetti,22,180cm,75kg,Stade Brestois 29,2018,2024,60,70,€550K,550000.0,€3K,3000.0,€715K
Ecuador,"CDM, RW, RB",CDM,MID,J. Montaño,21,180cm,72kg,Barcelona Sporting Club,2019,2024,60,68,€525K,525000.0,€500,500.0,€646K
United States,"CAM, RW",CAM,MID,N. Taitague,21,173cm,68kg,FC Schalke 04,2020,2021,60,73,€600K,600000.0,€3K,3000.0,€930K
England,"CM, CB",CDM,MID,B. Walker,24,186cm,80kg,Shrewsbury,2019,2021,60,66,€375K,375000.0,€2K,2000.0,€536K
Bosnia Herzegovina,"CM, CDM",CAM,MID,M. Ćavar,22,184cm,70kg,Eintracht Frankfurt,2018,2021,60,71,€550K,550000.0,€4K,4000.0,€665K
United States,GK,GK,GK,J. Marcinkowski,23,185cm,83kg,San Jose Earthquakes,2018,2020,60,70,€475K,475000.0,€850,850.0,€454K
Argentina,CB,CB,DEF,F. Godoy,20,185cm,79kg,Unión de Santa Fe,2017,2022,60,75,€550K,550000.0,€1K,1000.0,€903K
Romania,LM,LM,MID,S. Bustea,25,175cm,73kg,UTA Arad,2019,2021,60,63,€325K,325000.0,€1K,1000.0,€356K
Russia,LW,LW,ATT,N. Iosifov,19,175cm,62kg,Lokomotiv Moscow,2018,2021,60,72,€575K,575000.0,€5K,5000.0,€630K
Mexico,LM,CAM,MID,O. Panuco,18,167cm,69kg,FC Juárez,2020,2021,60,76,€625K,625000.0,€800,800.0,€988K
Germany,CB,CB,DEF,Y. Langesberg,26,191cm,87kg,SC Verl,2019,2021,60,63,€275K,275000.0,€500,500.0,€351K
Saudi Arabia,CB,CB,DEF,A. Kanno,30,181cm,67kg,Al Fayha,2017,2025,60,60,€200K,200000.0,€3K,3000.0,€281K
Germany,CM,CAM,MID,E. Majetschak,20,185cm,80kg,FC Erzgebirge Aue,2019,2022,60,76,€650K,650000.0,€1K,1000.0,€979K
Paraguay,ST,ST,ATT,E. Meza,22,187cm,80kg,Sportivo Luqueño,2019,2024,60,66,€400K,400000.0,€500,500.0,€705K
England,"CAM, CF",CAM,MID,J. McAtee,20,180cm,75kg,Scunthorpe United,2019,2021,60,74,€600K,600000.0,€2K,2000.0,€1.1M
Germany,ST,ST,ATT,L. Krüger,20,190cm,78kg,SV Meppen,2020,2022,60,71,€550K,550000.0,€500,500.0,€578K
Germany,"CM, CDM, CB",ST,ATT,T. Krauß,19,182cm,75kg,1. FC Nürnberg,Jun ,Loan,60,74,€575K,575000.0,€4K,4000.0,€0
Cuba,RM,RM,MID,M. Chang,29,178cm,79kg,Real Salt Lake,2019,2021,60,60,€240K,240000.0,€1K,1000.0,€290K
Ecuador,CDM,CDM,MID,S. Quintero,21,187cm,86kg,Barcelona Sporting Club,2020,2024,60,69,€525K,525000.0,€500,500.0,€705K
England,"LM, CAM",RM,MID,N. Kirby,20,174cm,66kg,Crystal Palace,2017,2022,60,76,€650K,650000.0,€6K,6000.0,€1.1M
Paraguay,CM,CAM,MID,A. Shuartzman,22,173cm,67kg,Sportivo Luqueño,2020,2024,60,65,€375K,375000.0,€500,500.0,€612K
Republic of Ireland,"CM, CDM",CM,MID,G. Sloggett,23,188cm,75kg,Dundalk,2019,2021,60,67,€500K,500000.0,€600,600.0,€481K
Netherlands,LM,RM,MID,K. Slor,18,181cm,77kg,FC Groningen,2020,2022,60,76,€625K,625000.0,€650,650.0,€882K
Japan,"LM, CF, CAM",RM,MID,T. Sasaki,22,166cm,59kg,Vegalta Sendai,2016,2022,60,67,€500K,500000.0,€900,900.0,€435K
France,"LB, LWB",LB,DEF,I. Boura,19,173cm,68kg,Racing Club de Lens,2020,2023,60,76,€600K,600000.0,€3K,3000.0,€1.1M
Republic of Ireland,GK,GK,GK,S. McGuinness,25,184cm,76kg,Bohemian FC,2019,2020,60,65,€300K,300000.0,€500,500.0,€325K
Sweden,GK,GK,GK,V. Noring,29,196cm,90kg,Falkenbergs FF,2020,2020,60,62,€200K,200000.0,€500,500.0,€225K
Argentina,ST,ST,ATT,T. Badaloni,20,186cm,82kg,Godoy Cruz,2017,2021,60,76,€650K,650000.0,€1K,1000.0,€934K
Norway,"CB, CM",CB,DEF,S. Sæthre,27,184cm,75kg,Aalesunds FK,2018,2020,60,63,€275K,275000.0,€750,750.0,€292K
Argentina,RB,RB,DEF,A. Schott,20,175cm,71kg,Club Atlético Talleres,2018,2021,60,75,€575K,575000.0,€2K,2000.0,€882K
France,CDM,CDM,MID,M. Siby,23,191cm,84kg,RC Strasbourg Alsace,2020,2023,60,67,€450K,450000.0,€3K,3000.0,€605K
Australia,CDM,CDM,MID,A. Melksham,29,190cm,82kg,Macarthur FC,2020,2023,60,60,€210K,210000.0,€550,550.0,€225K
China PR,"CB, CDM, CM",CB,DEF,Pei Shuai,27,185cm,72kg,Shenzhen FC,2020,2022,60,62,€250K,250000.0,€2K,2000.0,€358K
Germany,"RM, LM",CAM,MID,M. Čović,22,175cm,65kg,Hertha BSC,2018,2020,60,71,€550K,550000.0,€6K,6000.0,€665K
Netherlands,CM,CM,MID,S. Janssen,19,179cm,72kg,VVV-Venlo,2018,2021,60,72,€575K,575000.0,€850,850.0,€578K
Ghana,"CDM, CM, CB",CDM,MID,S. Abdulai,21,185cm,77kg,Getafe CF,2019,2024,60,70,€525K,525000.0,€3K,3000.0,€690K
Argentina,ST,ST,ATT,M. Belloso,20,175cm,63kg,Arsenal de Sarandí,Dec ,Loan,60,69,€550K,550000.0,€2K,2000.0,€0
England,"CAM, ST",CAM,MID,M. Jay,24,169cm,64kg,Exeter City,2012,2021,60,66,€400K,400000.0,€2K,2000.0,€536K
Spain,RB,RB,DEF,Almerge,19,178cm,69kg,SD Huesca,2017,2021,60,76,€600K,600000.0,€2K,2000.0,€1.1M
Germany,CDM,CDM,MID,F. Schwarzholz,20,181cm,75kg,FC Augsburg,2018,2022,60,73,€550K,550000.0,€3K,3000.0,€909K
Germany,"CAM, RB",RM,MID,J. Rochelt,21,182cm,76kg,Bayern München II,2019,2021,60,71,€550K,550000.0,€1K,1000.0,€578K
England,GK,GK,GK,E. Balcombe,20,183cm,76kg,Brentford,2016,2022,60,74,€525K,525000.0,€3K,3000.0,€947K
Spain,"CAM, RM, ST",CAM,MID,Lapeña,20,170cm,62kg,UD Logroñés,2019,2021,60,70,€550K,550000.0,€1K,1000.0,€569K
Japan,"ST, RW",ST,ATT,H. Yamada,20,183cm,76kg,Vegalta Sendai,Jan ,Loan,60,71,€550K,550000.0,€1K,1000.0,€0
Mexico,"LB, LM",LB,DEF,D. Parra,20,180cm,72kg,Monterrey,2019,2023,60,71,€525K,525000.0,€4K,4000.0,€618K
France,CB,CB,DEF,K. Mouanga,19,191cm,80kg,Angers SCO,2018,2023,60,76,€600K,600000.0,€2K,2000.0,€1.1M
Belgium,"LW, RW",LW,ATT,B. Limbombe,19,172cm,73kg,KRC Genk,2019,2023,60,74,€575K,575000.0,€2K,2000.0,€956K
Norway,ST,ST,ATT,E. Botheim,20,180cm,70kg,Stabæk Fotball,Dec ,Loan,60,73,€600K,600000.0,€1K,1000.0,€0
England,CB,CB,DEF,F. Horsfall,23,190cm,82kg,Northampton Town,2020,2022,60,65,€325K,325000.0,€2K,2000.0,€456K
Chile,GK,GK,GK,M. Vargas,24,183cm,81kg,Unión La Calera,2020,2020,60,68,€475K,475000.0,€500,500.0,€372K
France,RB,CB,DEF,T. Vargas,20,175cm,68kg,Montpellier HSC,2019,2022,60,73,€575K,575000.0,€3K,3000.0,€984K
Australia,CB,CB,DEF,B. Warland,23,185cm,82kg,Sydney FC,2018,2021,60,63,€300K,300000.0,€1K,1000.0,€318K
Spain,GK,GK,GK,Iván Martínez,18,180cm,70kg,CA Osasuna,2018,2021,60,81,€700K,700000.0,€500,500.0,€1.2M
Paraguay,GK,GK,GK,V. Centurión,34,183cm,79kg,Sol de América,2019,2023,60,60,€40K,40000.0,€500,500.0,€194K
Argentina,"RM, RW",RM,MID,T. Diáz,23,178cm,72kg,Chindia Târgovişte,Jun ,Loan,60,69,€550K,550000.0,€2K,2000.0,€0
Saudi Arabia,RB,RB,DEF,A. Majrashi,28,162cm,58kg,Al Adalah,2019,2024,60,60,€220K,220000.0,€3K,3000.0,€297K
Uruguay,ST,ST,ATT,A. Álvarez Martínez,19,180cm,75kg,Peñarol,2020,2024,60,72,€600K,600000.0,€500,500.0,€900K
Poland,GK,GK,GK,M. Stryjek,23,188cm,82kg,Livingston FC,2020,2023,60,66,€325K,325000.0,€800,800.0,€410K
England,"CDM, CM",CAM,MID,A. Morley,20,183cm,72kg,Rochdale,2016,2022,60,72,€550K,550000.0,€700,700.0,€683K
Germany,CB,CB,DEF,T. Kraulich,21,191cm,83kg,FC Würzburger Kickers,2020,2023,60,68,€525K,525000.0,€2K,2000.0,€481K
Poland,RB,RWB,DEF,K. Michalski,20,187cm,77kg,Górnik Zabrze,2020,2022,60,72,€575K,575000.0,€750,750.0,€543K
Norway,GK,GK,GK,A. Wichne,23,182cm,79kg,IK Start,2020,2022,60,69,€475K,475000.0,€500,500.0,€363K
Portugal,CDM,CB,DEF,Paulo Estrela,21,171cm,66kg,Portimonense SC,2019,2022,60,70,€525K,525000.0,€950,950.0,€690K
United Arab Emirates,LM,ST,ATT,M. Khalfan,21,175cm,63kg,Al Ain FC,2017,2021,60,68,€550K,550000.0,€500,500.0,€705K
Republic of Ireland,LB,LB,DEF,P. Kirk,22,175cm,66kg,Bohemian FC,2017,2020,60,69,€525K,525000.0,€500,500.0,€481K
England,"LB, CB",LB,DEF,A. Crookes,22,182cm,77kg,Port Vale,2019,2021,60,68,€525K,525000.0,€2K,2000.0,€536K
Canada,"CDM, CM",CDM,MID,C. Trafford,28,192cm,82kg,Hamilton Academical FC,2020,2022,60,60,€220K,220000.0,€1K,1000.0,€315K
England,GK,GK,GK,A. Fisher,22,183cm,73kg,Blackburn Rovers,2016,2021,60,71,€475K,475000.0,€4K,4000.0,€578K
Japan,CB,CB,DEF,Y. Kobayashi,19,185cm,76kg,Yokohama FC,Jan ,Loan,60,71,€500K,500000.0,€800,800.0,€0
Republic of Ireland,GK,GK,GK,B. Murphy,37,183cm,83kg,Waterford FC,2020,2020,60,60,€25K,25000.0,€500,500.0,€31K
Argentina,LM,LM,MID,B. Farioli,22,180cm,70kg,Club Atlético Colón,2019,2022,60,69,€550K,550000.0,€2K,2000.0,€553K
Sweden,"LWB, LM, RWB",LWB,DEF,Y. Rafael,21,175cm,75kg,Kalmar FF,2019,2021,60,71,€525K,525000.0,€500,500.0,€471K
Mexico,GK,GK,GK,F. Tapia,19,185cm,79kg,Club América,2020,2022,60,72,€500K,500000.0,€2K,2000.0,€570K
Austria,ST,ST,ATT,M. Mustapha,19,183cm,82kg,1. FSV Mainz 05,2020,2024,60,72,€600K,600000.0,€3K,3000.0,€750K
Germany,"CB, CDM",CB,DEF,P. Krätschmer,23,187cm,81kg,1. FC Nürnberg,2020,2021,60,67,€450K,450000.0,€2K,2000.0,€495K
China PR,GK,GK,GK,Hou Sen,31,188cm,81kg,Beijing Sinobo Guoan FC,2007,2020,60,60,€130K,130000.0,€2K,2000.0,€208K
Spain,CM,CAM,MID,De La Mata,22,187cm,77kg,CD Mirandés,2020,2024,60,68,€550K,550000.0,€1K,1000.0,€525K
England,"CM, CDM, RB",CDM,MID,S. McWilliams,21,180cm,69kg,Northampton Town,2015,2021,60,69,€550K,550000.0,€2K,2000.0,€634K
England,"CM, CDM",CAM,MID,E. Robson,23,178cm,73kg,Blackpool,2020,2022,60,66,€375K,375000.0,€2K,2000.0,€536K
Poland,"ST, CF",ST,ATT,M. Rosołek,18,183cm,77kg,Legia Warszawa,2019,2022,60,77,€625K,625000.0,€900,900.0,€861K
Finland,CB,CB,DEF,R. Tihi,18,185cm,85kg,AIK,2020,2023,60,78,€600K,600000.0,€500,500.0,€750K
Albania,CB,CB,DEF,A. Bilali,26,192cm,85kg,Academica Clinceni,2020,2021,60,63,€275K,275000.0,€1K,1000.0,€328K
Nigeria,"RW, CAM",RM,MID,I. Abdulrazak,18,176cm,70kg,IFK Norrköping,2020,2024,60,74,€575K,575000.0,€550,550.0,€797K
Republic of Ireland,GK,GK,GK,D. Rogers,26,185cm,77kg,Kilmarnock,2020,2021,60,65,€275K,275000.0,€1K,1000.0,€365K
Australia,"CB, LB, RB",CB,DEF,T. Elrich,33,180cm,77kg,Perth Glory,2020,2021,60,60,€120K,120000.0,€1K,1000.0,€125K
Sweden,GK,GK,GK,J. Brattberg,23,200cm,100kg,Falkenbergs FF,2014,2025,60,65,€300K,300000.0,€500,500.0,€278K
England,CM,LM,MID,J. Powell,21,178cm,68kg,Burton Albion,2020,2022,60,71,€550K,550000.0,€1K,1000.0,€683K
England,"RM, ST, LM",RM,MID,S. Tracey,22,179cm,76kg,Shrewsbury,Jun ,Loan,60,70,€550K,550000.0,€10K,10000.0,€0
Spain,GK,GK,GK,Azón,19,178cm,74kg,Real Zaragoza,2019,2021,60,76,€575K,575000.0,€550,550.0,€834K
Portugal,GK,GK,GK,João Monteiro,19,186cm,80kg,Os Belenenses,2019,2023,60,75,€500K,500000.0,€500,500.0,€1M
Italy,GK,GK,GK,A. Confente,22,194cm,74kg,Chievo Verona,2015,2023,60,72,€525K,525000.0,€500,500.0,€525K
Mexico,LB,LB,DEF,R. Sandoval,20,173cm,66kg,Club Necaxa,2020,2023,60,74,€575K,575000.0,€1K,1000.0,€967K
Canada,"ST, CF, RW",ST,ATT,T. Bair,20,193cm,98kg,Vancouver Whitecaps FC,2019,2023,60,72,€600K,600000.0,€1K,1000.0,€619K
Argentina,GK,GK,GK,E. González,24,193cm,88kg,Estudiantes de La Plata,2019,2022,60,68,€475K,475000.0,€2K,2000.0,€408K
Germany,"RM, LM, ST",LM,MID,F. Greilinger,19,175cm,69kg,TSV 1860 München,2019,2021,60,78,€625K,625000.0,€500,500.0,€934K
Venezuela,"ST, RM",ST,ATT,J. Vargas,20,168cm,68kg,Gimnasia y Esgrima La Plata,2019,2021,60,73,€600K,600000.0,€2K,2000.0,€830K
France,"RW, ST, LW",CAM,MID,M. Rivera,18,168cm,68kg,AS Saint-Étienne,2020,2022,60,78,€625K,625000.0,€2K,2000.0,€1.1M
Bolivia,ST,ST,ATT,J. Muñóz,25,180cm,77kg,Nacional Potosí,2019,2024,60,62,€325K,325000.0,€500,500.0,€556K
Mexico,CB,CB,DEF,B. Galindo,21,184cm,85kg,Pachuca,2020,2023,60,69,€525K,525000.0,€2K,2000.0,€570K
England,LB,LWB,DEF,A. Lewis,20,175cm,63kg,Amiens SC,Jun ,Loan,60,77,€625K,625000.0,€7K,7000.0,€0
Saudi Arabia,"CDM, CB",CB,DEF,J. Issa,23,185cm,75kg,Al Wehda,2019,2021,60,71,€525K,525000.0,€3K,3000.0,€601K
England,CB,CB,DEF,T. Grivosti,21,182cm,72kg,Ross County FC,2018,2021,60,70,€525K,525000.0,€900,900.0,€585K
Japan,RB,RB,DEF,T. Nakamura,19,177cm,68kg,FC Tokyo,2019,2022,60,72,€550K,550000.0,€900,900.0,€471K
Tunisia,CB,CB,DEF,J. Khmiri,22,192cm,85kg,Vancouver Whitecaps FC,2019,2023,60,70,€525K,525000.0,€1K,1000.0,€495K
Albania,"RM, CAM",CAM,MID,A. Zeka,21,184cm,73kg,Royal Excel Mouscron,2020,2021,60,69,€550K,550000.0,€1K,1000.0,€536K
Mexico,CDM,CB,DEF,E. Del Ángel,20,174cm,68kg,Mazatlán FC,2020,2024,60,74,€550K,550000.0,€1K,1000.0,€988K
Austria,"CM, CDM",CM,MID,A. Ammerer,23,180cm,78kg,SV Ried,2017,2021,60,65,€375K,375000.0,€2K,2000.0,€419K
Brazil,CAM,CAM,MID,João Neto,17,175cm,64kg,Famalicão,2019,2022,60,79,€625K,625000.0,€500,500.0,€1.1M
France,RB,RB,DEF,R. Yapi,19,178cm,70kg,Brighton & Hove Albion,2019,2021,60,75,€550K,550000.0,€4K,4000.0,€1M
DR Congo,ST,ST,ATT,N. Balongo,21,187cm,75kg,Sint-Truidense VV,2018,2021,60,69,€550K,550000.0,€2K,2000.0,€536K
Portugal,"CAM, CM",RM,MID,Gonçalo Franco,19,176cm,69kg,Moreirense FC,2020,2025,60,65,€350K,350000.0,€1K,1000.0,€598K
France,"CM, LM",LM,MID,R. Pereira de Sa,23,177cm,71kg,FC Nantes,2017,2021,60,66,€375K,375000.0,€3K,3000.0,€605K
Australia,"LWB, LB",LWB,DEF,A. Monksfield,26,182cm,79kg,Macarthur FC,2020,2023,60,63,€300K,300000.0,€550,550.0,€305K
Mexico,LM,CAM,MID,J. Zamudio,21,181cm,68kg,Club León,2019,2021,60,71,€550K,550000.0,€3K,3000.0,€665K
England,LB,LB,DEF,J. Mascoll,23,189cm,74kg,Bolton Wanderers,2020,2021,60,67,€475K,475000.0,€2K,2000.0,€488K
Czech Republic,"CAM, LW, RW",CAM,MID,J. Žambůrek,19,175cm,61kg,Shrewsbury,Jun ,Loan,60,75,€575K,575000.0,€4K,4000.0,€0
Spain,"CB, RB",CB,DEF,Zabarte,21,175cm,76kg,CA Osasuna,2019,2021,60,72,€575K,575000.0,€3K,3000.0,€805K
England,"CM, CAM",CAM,MID,K. Taylor,20,178cm,70kg,Southend United,Jan ,Loan,60,73,€600K,600000.0,€2K,2000.0,€0
Germany,ST,ST,ATT,R. Königsdörffer,18,179cm,72kg,SG Dynamo Dresden,2019,2022,60,78,€625K,625000.0,€700,700.0,€882K
China PR,CB,CB,DEF,Han Xuan,29,193cm,85kg,Henan Jianye FC,2018,2020,60,61,€230K,230000.0,€2K,2000.0,€325K
France,ST,ST,ATT,S. Doucouré,18,193cm,75kg,La Berrichonne de Châteauroux,2020,2023,60,75,€575K,575000.0,€500,500.0,€1M
Saudi Arabia,CB,CB,DEF,A. Fallatah,26,181cm,70kg,Al Ittihad,2019,2022,60,64,€300K,300000.0,€5K,5000.0,€426K
Japan,GK,GK,GK,K. Yoshimaru,24,183cm,75kg,Vissel Kobe,2014,2022,60,65,€300K,300000.0,€1K,1000.0,€289K
England,ST,ST,ATT,I. Effiong,29,192cm,87kg,Stevenage,2020,2021,60,60,€250K,250000.0,€2K,2000.0,€368K
Brazil,ST,ST,ATT,William Camargo,21,180cm,75kg,FC Cartagena,Jun ,Loan,60,74,€600K,600000.0,€2K,2000.0,€0
Poland,"CAM, CM",CAM,MID,M. Bogusz,18,175cm,68kg,UD Logroñés,Jun ,Loan,60,77,€625K,625000.0,€5K,5000.0,€0
Angola,"CF, RM, ST",ST,ATT,Jabez Makanda,18,186cm,80kg,Eintracht Frankfurt,2020,2021,60,73,€575K,575000.0,€2K,2000.0,€872K
Turkey,"CAM, CM",CAM,MID,R. Berişbek,21,175cm,70kg,Gençlerbirliği SK,2018,2022,60,72,€600K,600000.0,€2K,2000.0,€825K
Argentina,GK,GK,GK,Adrián,19,195cm,83kg,Deportivo Alavés,2020,2024,60,79,€575K,575000.0,€1K,1000.0,€1M
Spain,"CM, CAM, CDM",RB,DEF,Álex Cruz,20,165cm,65kg,CD Tenerife,2019,2022,60,72,€600K,600000.0,€1K,1000.0,€675K
France,"LW, RW, CF",LM,MID,T. Coulibaly,19,175cm,72kg,VfB Stuttgart,2019,2023,60,73,€575K,575000.0,€2K,2000.0,€970K
New Zealand,"CF, CAM, ST",ST,ATT,A. de Jong,23,181cm,73kg,lub,Free,Free,60,67,€0,0.0,€0,0.0,€0
England,CB,CB,DEF,Z. Ibsen Rossi,19,194cm,83kg,Kilmarnock,Jun ,Loan,60,74,€550K,550000.0,€1K,1000.0,€0
Germany,"CB, LB",CB,DEF,B. Arrey-Mbi,17,187cm,76kg,Bayern München II,2020,2022,60,86,€950K,950000.0,€500,500.0,€1M
Scotland,GK,GK,GK,P. Cherrie,36,188cm,76kg,Derry City,2018,2020,60,60,€25K,25000.0,€500,500.0,€54K
Poland,CDM,CB,DEF,M. Rzuchowski,26,176cm,74kg,Podbeskidzie Bielsko-Biała,2018,2021,60,64,€300K,300000.0,€900,900.0,€342K
Norway,CB,CB,DEF,S. Hanssen,19,186cm,75kg,Strømsgodset IF,2020,2022,60,76,€600K,600000.0,€500,500.0,€797K
